long,lat
3,179
1,56
5,50
1,17
6,177
8,175
6,169
8,163
6,58
6,50
7,52
10,176
12,175
14,166
14,167
14,60
12,58
16,46
13,43
16,41
16,30
16,29
13,16
13,4
13,6
19,169
17,162
19,147
19,53
19,47
19,46
19,37
21,37
19,24
21,4
21,6
23,173
24,161
24,153
24,147
23,148
24,144
24,143
24,73
24,64
22,66
24,62
24,48
22,46
24,44
22,42
22,38
22,37
24,36
24,23
22,23
26,167
26,160
30,145
27,129
27,125
30,63
27,54
29,52
29,50
29,48
27,34
29,34
32,34
34,34
28,36
28,37
28,12
28,3
33,150
32,146
32,147
32,148
33,125
33,124
31,121
35,111
32,83
33,68
33,63
35,63
35,64
32,58
35,44
33,40
35,41
33,23
35,30
35,29
31,14
33,13
37,176
37,160
38,116
37,112
39,105
37,85
38,53
38,50
37,38
37,33
38,31
38,30
38,20
42,162
42,160
41,156
42,153
41,134
41,118
41,104
42,99
44,67
44,46
41,43
44,43
44,42
41,37
40,33
42,32
44,33
42,22
46,175
49,164
46,162
49,160
46,157
46,151
46,116
49,115
46,109
47,82
46,68
46,47
49,54
46,53
49,50
46,47
49,46
49,44
46,36
46,21
46,19
52,177
52,169
52,156
52,148
52,147
53,133
53,130
55,114
52,111
52,109
55,87
52,76
55,73
52,60
51,35
51,36
54,22
54,17
51,8
57,179
58,179
57,163
57,160
57,93
60,82
58,66
57,54
57,53
57,48
57,47
58,44
57,37
60,83
62,179
64,174
64,154
62,133
62,126
61,118
64,108
64,107
64,105
64,103
63,107
63,101
63,66
63,60
63,44
62,40
63,40
66,173
67,173
69,157
69,137
66,132
67,133
69,131
66,129
68,127
69,127
67,109
67,107
66,105
66,99
69,99
69,93
69,91
66,91
66,88
68,87
69,85
66,77
69,77
69,78
67,73
67,57
69,56
66,54
67,53
67,48
67,47
66,43
69,38
66,33
67,24
73,182
74,179
71,176
75,175
71,157
71,147
73,127
75,126
75,127
76,91
78,81
78,77
78,78
71,74
71,67
75,60
73,46
73,33
73,28
78,182
78,179
78,147
76,131
78,106
77,105
80,101
78,99
80,96
80,94
78,87
78,88
80,87
78,84
80,81
76,75
78,75
78,63
78,60
76,53
78,54
76,52
80,50
76,40
76,39
78,23
84,156
82,128
86,128
86,113
82,102
84,99
84,92
82,91
82,88
84,88
84,86
82,84
84,78
82,75
84,75
84,73
82,68
84,64
84,61
82,56
84,43
82,36
84,23
86,127
86,114
87,108
89,95
89,88
87,77
87,70
89,65
88,61
87,60
87,37
89,32
93,150
94,148
94,143
93,103
94,102
91,92
91,86
93,86
91,82
93,77
94,69
94,67
91,66
94,53
91,48
93,44
94,44
94,17
91,19
96,151
96,150
96,149
100,150
100,149
100,148
96,129
96,126
98,102
96,97
100,95
98,93
98,92
98,84
100,66
96,18
104,126
104,123
102,115
102,106
103,103
105,103
103,91
102,89
105,88
103,85
102,83
103,52
105,119
110,115
110,96
110,94
107,86
108,84
108,61
114,136
114,135
112,124
115,121
115,115
113,107
113,81
115,44
113,43
112,32
112,27
113,23
112,20
115,16
115,15
120,126
117,100
118,96
119,97
121,88
118,86
119,18
119,7
