long,lat
48,184
75,184
75,181
79,182
84,184
26,177
52,177
52,178
68,175
72,179
31,171
67,171
13,169
20,169
52,166
7,164
22,163
43,163
48,163
9,159
22,159
43,158
79,158
16,162
23,146
29,145
39,149
41,149
101,149
51,134
88,131
79,125
34,119
37,117
111,113
95,110
39,104
59,104
77,104
81,104
109,103
42,100
42,97
96,97
68,92
79,90
91,94
93,93
109,94
109,92
42,86
68,89
78,87
89,88
91,88
97,87
102,90
44,83
64,84
35,76
49,76
71,76
71,78
75,78
78,80
82,76
42,73
62,75
78,72
34,66
76,66
76,69
17,62
36,64
38,64
41,64
82,61
91,61
102,65
8,55
12,51
44,54
69,54
36,47
64,46
121,46
64,44
103,44
24,38
38,36
51,38
64,39
44,32
37,26
42,29
33,9
42,16
42,8
53,15
58,2
